isotope,ST1-charged (g),ST1-discharged (g), ST2-charged (g),ST2-discharged (g)
MO107,0.000E+00,6.283E-06,0.000E+00,1.784E-06
MO108,0.000E+00,9.008E-07,0.000E+00,1.032E-07
MO109,0.000E+00,1.649E-07,0.000E+00,0.000E+00
MO110,0.000E+00,2.249E-08,0.000E+00,0.000E+00
MO111,0.000E+00,1.325E-08,0.000E+00,0.000E+00
MO112,0.000E+00,2.308E-09,0.000E+00,0.000E+00
MO113,0.000E+00,1.242E-10,0.000E+00,0.000E+00
MO114,0.000E+00,7.768E-11,0.000E+00,0.000E+00
MO115,0.000E+00,1.670E-11,0.000E+00,0.000E+00
TC98,0.000E+00,2.954E-01,0.000E+00,1.642E-02
TC99,0.000E+00,2.727E+03,0.000E+00,1.105E+03
TC99M,0.000E+00,3.031E-01,0.000E+00,3.005E-01
TC100,0.000E+00,7.903E-05,0.000E+00,9.891E-05
TC101,0.000E+00,9.519E-03,0.000E+00,9.465E-03
TC102,0.000E+00,5.201E-05,0.000E+00,4.496E-05
TC102M,0.000E+00,2.938E-05,0.000E+00,7.195E-06
TC103,0.000E+00,5.484E-04,0.000E+00,3.123E-04
TC104,0.000E+00,8.768E-03,0.000E+00,4.117E-03
TC105,0.000E+00,3.323E-03,0.000E+00,9.110E-04
TC106,0.000E+00,1.938E-04,0.000E+00,3.999E-05
TC107,0.000E+00,1.062E-04,0.000E+00,1.460E-05
TC108,0.000E+00,2.084E-05,0.000E+00,1.181E-06
TC109,0.000E+00,2.458E-06,0.000E+00,5.702E-06
TC110,0.000E+00,1.231E-06,0.000E+00,0.000E+00
TC111,0.000E+00,1.703E-07,0.000E+00,0.000E+00
TC112,0.000E+00,6.607E-08,0.000E+00,0.000E+00
TC113,0.000E+00,7.938E-09,0.000E+00,0.000E+00
TC114,0.000E+00,1.425E-09,0.000E+00,0.000E+00
TC115,0.000E+00,1.266E-10,0.000E+00,0.000E+00
TC116,0.000E+00,3.508E-11,0.000E+00,0.000E+00
TC117,0.000E+00,1.412E-11,0.000E+00,0.000E+00
TC118,0.000E+00,1.317E-11,0.000E+00,0.000E+00
RU99,0.000E+00,2.733E-01,0.000E+00,7.124E-03
RU100,0.000E+00,5.279E+02,0.000E+00,2.461E+02
RU101,0.000E+00,2.076E+03,0.000E+00,8.848E+02
RU102,0.000E+00,2.370E+03,0.000E+00,7.784E+02
RU103,0.000E+00,3.535E+01,0.000E+00,2.161E+01
RU104,0.000E+00,1.665E+03,0.000E+00,3.194E+02
RU105,0.000E+00,1.231E-01,0.000E+00,3.123E-02
RU106,0.000E+00,1.791E+02,0.000E+00,3.218E+01
RU107,0.000E+00,1.322E-03,0.000E+00,1.386E-04
RU108,0.000E+00,1.596E-03,0.000E+00,8.067E-05
RU109,0.000E+00,1.500E-04,0.000E+00,7.947E-06
RU110,0.000E+00,5.209E-05,0.000E+00,1.961E-06
RU111,0.000E+00,7.611E-06,0.000E+00,1.067E-06
RU112,0.000E+00,4.663E-06,0.000E+00,0.000E+00
RU113,0.000E+00,8.593E-07,0.000E+00,0.000E+00
RU114,0.000E+00,1.976E-07,0.000E+00,0.000E+00
RU115,0.000E+00,9.200E-08,0.000E+00,0.000E+00
RU116,0.000E+00,1.681E-08,0.000E+00,0.000E+00
RU117,0.000E+00,1.047E-09,0.000E+00,0.000E+00
RU118,0.000E+00,3.345E-10,0.000E+00,0.000E+00
RU119,0.000E+00,5.135E-11,0.000E+00,0.000E+00
RU120,0.000E+00,5.052E-11,0.000E+00,0.000E+00
RH102,0.000E+00,1.378E-02,0.000E+00,1.183E-03
RH103,0.000E+00,1.685E+03,0.000E+00,2.532E+02
RH103M,0.000E+00,3.554E-02,0.000E+00,1.931E-02
RH104,0.000E+00,1.634E-04,0.000E+00,2.390E-04
RH104M,0.000E+00,7.397E-05,0.000E+00,1.051E-04
RH105,0.000E+00,9.751E-01,0.000E+00,2.255E-01
RH105M,0.000E+00,9.829E-05,0.000E+00,2.461E-05
RH106,0.000E+00,1.663E-04,0.000E+00,3.407E-05
RH106M,0.000E+00,1.302E-04,0.000E+00,4.732E-04
RH107,0.000E+00,7.685E-03,0.000E+00,7.166E-04
RH108,0.000E+00,9.938E-05,0.000E+00,5.040E-06
RH108M,0.000E+00,2.416E-05,0.000E+00,2.437E-07
RH109,0.000E+00,5.052E-04,0.000E+00,2.089E-05
RH109M,0.000E+00,1.206E-04,0.000E+00,5.797E-06
RH110,0.000E+00,1.747E-06,0.000E+00,3.762E-06
RH110M,0.000E+00,1.438E-04,0.000E+00,0.000E+00
RH111,0.000E+00,6.410E-05,0.000E+00,6.270E-06
RH112,0.000E+00,9.689E-06,0.000E+00,3.407E-07
RH113,0.000E+00,1.230E-05,0.000E+00,0.000E+00
RH114,0.000E+00,4.768E-06,0.000E+00,0.000E+00
RH115,0.000E+00,1.836E-06,0.000E+00,8.656E-08
RH116,0.000E+00,8.152E-07,0.000E+00,0.000E+00
RH117,0.000E+00,1.374E-07,0.000E+00,0.000E+00
RH118,0.000E+00,2.716E-08,0.000E+00,0.000E+00
RH119,0.000E+00,2.122E-09,0.000E+00,0.000E+00
RH120,0.000E+00,3.543E-10,0.000E+00,0.000E+00
RH121,0.000E+00,8.633E-11,0.000E+00,0.000E+00
RH122,0.000E+00,3.315E-11,0.000E+00,0.000E+00
RH123,0.000E+00,1.668E-11,0.000E+00,0.000E+00
PD102,0.000E+00,5.161E-02,0.000E+00,0.000E+00
