isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
Y89M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.248E-11
Y90,0.000E+00,1.592E-01,0.000E+00,2.595E-02,0.000E+00,9.770E-02
Y90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.695E-06
Y91,0.000E+00,4.734E+01,0.000E+00,1.099E+01,0.000E+00,2.622E+01
Y91M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.854E-03
Y92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.979E-02
Y93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.960E-01
Y94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.014E-02
Y95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.398E-03
Y96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.374E-03
Y97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.898E-06
Y98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.917E-06
Y99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.001E-06
Y100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.282E-06
Y101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.393E-07
Y102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.089E-08
Y103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.062E-09
Y104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.851E-10
Y105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.246E-11
Y107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.603E-15
ZR90,0.000E+00,2.359E+01,0.000E+00,3.092E+00,0.000E+00,1.917E+01
ZR90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.061E-14
ZR91,0.000E+00,7.252E+02,0.000E+00,1.150E+02,0.000E+00,4.425E+02
ZR92,0.000E+00,9.432E+02,0.000E+00,1.489E+02,0.000E+00,5.781E+02
ZR93,0.000E+00,1.181E+03,0.000E+00,1.833E+02,0.000E+00,7.360E+02
ZR94,0.000E+00,1.289E+03,0.000E+00,1.880E+02,0.000E+00,8.340E+02
ZR95,0.000E+00,1.016E+02,0.000E+00,2.252E+01,0.000E+00,5.834E+01
ZR96,0.000E+00,1.557E+03,0.000E+00,2.300E+02,0.000E+00,1.011E+03
ZR97,0.000E+00,1.041E-14,0.000E+00,2.433E-15,0.000E+00,7.250E-01
ZR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.883E-04
ZR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.052E-05
ZR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.321E-05
ZR101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.499E-05
ZR102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.314E-04
ZR103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.351E-06
ZR104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.034E-06
ZR105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.249E-08
ZR106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.326E-09
ZR107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.045E-11
ZR108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.159E-11
ZR109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.095E-13
NB92,0.000E+00,2.224E-11,0.000E+00,1.515E-12,0.000E+00,2.015E-11
NB93,0.000E+00,1.611E-04,0.000E+00,1.892E-05,0.000E+00,1.153E-04
NB93M,0.000E+00,7.775E-04,0.000E+00,9.814E-05,0.000E+00,6.403E-04
NB94,0.000E+00,5.665E-03,0.000E+00,6.656E-04,0.000E+00,2.289E-03
NB94M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.639E-09
NB95,0.000E+00,7.266E+01,0.000E+00,1.577E+01,0.000E+00,3.216E+01
NB95M,0.000E+00,4.250E-02,0.000E+00,9.422E-03,0.000E+00,2.362E-02
NB96,0.000E+00,7.021E-13,0.000E+00,9.704E-14,0.000E+00,2.225E-03
NB97,0.000E+00,7.977E-16,0.000E+00,1.863E-16,0.000E+00,5.217E-02
NB97M,0.000E+00,9.726E-18,0.000E+00,2.273E-18,0.000E+00,6.784E-04
NB98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.584E-05
NB98M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.112E-04
NB99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.910E-04
NB99M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.014E-04
NB100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.835E-05
NB100M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.842E-05
NB101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.210E-05
NB102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.589E-05
NB103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.422E-04
NB104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.032E-06
NB105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.344E-06
NB106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.752E-07
NB107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.644E-08
NB108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.540E-09
NB109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.177E-10
NB110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.931E-11
NB111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.118E-12
MO95,0.000E+00,1.263E+03,0.000E+00,1.808E+02,0.000E+00,8.029E+02
MO96,0.000E+00,5.034E+01,0.000E+00,3.477E+00,0.000E+00,6.165E+01
MO97,0.000E+00,1.601E+03,0.000E+00,2.391E+02,0.000E+00,1.087E+03
MO98,0.000E+00,1.825E+03,0.000E+00,2.623E+02,0.000E+00,1.195E+03
MO99,0.000E+00,1.866E-03,0.000E+00,4.276E-04,0.000E+00,3.367E+00
MO100,0.000E+00,2.080E+03,0.000E+00,2.976E+02,0.000E+00,1.417E+03
MO101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.259E-02
MO102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.850E-03
MO103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.429E-04
MO104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.356E-03
MO105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.838E-04
MO106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.900E-05
MO107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.709E-05
MO108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.772E-07
MO109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.810E-07
MO110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.446E-08
MO111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.158E-09
MO112,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.848E-10
MO113,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.402E-11
MO114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.339E-12
MO115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.683E-14
