isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
TE126,0.00E+00,1.04E+00,0.00E+00,2.58E+00
TE127,0.00E+00,3.08E-02,0.00E+00,3.44E-02
TE127M,0.00E+00,1.20E+00,0.00E+00,1.36E+00
TE128,0.00E+00,1.60E+02,0.00E+00,1.50E+02
TE129,0.00E+00,1.15E-02,0.00E+00,9.49E-03
TE129M,0.00E+00,1.19E+00,0.00E+00,1.31E+00
TE130,0.00E+00,5.38E+02,0.00E+00,3.60E+02
TE131,0.00E+00,1.19E-02,0.00E+00,5.93E-03
TE131M,0.00E+00,1.36E-01,0.00E+00,1.82E-01
TE132,0.00E+00,3.60E+00,0.00E+00,1.93E+00
TE133,0.00E+00,8.25E-03,0.00E+00,2.46E-03
TE133M,0.00E+00,2.20E-02,0.00E+00,1.54E-02
TE134,0.00E+00,3.95E-02,0.00E+00,1.31E-02
TE135,0.00E+00,1.63E-04,0.00E+00,3.96E-05
TE136,0.00E+00,9.41E-05,0.00E+00,1.75E-05
TE137,0.00E+00,4.36E-06,0.00E+00,7.45E-07
TE138,0.00E+00,4.84E-07,0.00E+00,6.53E-08
I127,0.00E+00,7.81E+01,0.00E+00,9.67E+01
I128,0.00E+00,2.04E-04,0.00E+00,1.95E-04
I129,0.00E+00,2.66E+02,0.00E+00,2.32E+02
I130,0.00E+00,1.72E-02,0.00E+00,1.28E-02
I130M,0.00E+00,8.19E-05,0.00E+00,6.21E-05
I131,0.00E+00,6.22E+00,0.00E+00,3.71E+00
I132,0.00E+00,1.08E-01,0.00E+00,6.03E-02
I133,0.00E+00,1.39E+00,0.00E+00,6.96E-01
I133M,0.00E+00,4.85E-06,0.00E+00,6.17E-06
I134,0.00E+00,6.53E-02,0.00E+00,2.92E-02
I134M,0.00E+00,4.40E-04,0.00E+00,3.56E-04
I135,0.00E+00,4.23E-01,0.00E+00,1.86E-01
I136,0.00E+00,7.23E-04,0.00E+00,2.94E-04
I136M,0.00E+00,2.32E-04,0.00E+00,1.05E-04
I137,0.00E+00,2.09E-04,0.00E+00,8.03E-05
