isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
TH231,0.00E+00,3.26E-02,0.00E+00,3.26E-02,0.00E+00,1.13E-02
TH232,1.00E+06,9.58E+05,0.00E+00,9.58E+05,0.00E+00,3.33E+05
TH233,0.00E+00,7.64E-01,0.00E+00,7.64E-01,0.00E+00,2.66E-01
TH234,0.00E+00,1.69E-12,0.00E+00,1.69E-12,0.00E+00,5.88E-13
PA231,0.00E+00,4.15E-02,0.00E+00,4.15E-02,0.00E+00,0.00E+00
PA232,0.00E+00,7.77E-05,0.00E+00,7.77E-05,0.00E+00,0.00E+00
PA233,0.00E+00,9.99E+01,0.00E+00,9.99E+01,0.00E+00,0.00E+00
PA234,0.00E+00,1.15E-02,0.00E+00,1.15E-02,0.00E+00,0.00E+00
PA234M,0.00E+00,4.02E-05,0.00E+00,4.02E-05,0.00E+00,0.00E+00
PA235,0.00E+00,4.86E-11,0.00E+00,4.86E-11,0.00E+00,0.00E+00
U230,0.00E+00,8.71E-13,0.00E+00,8.71E-13,0.00E+00,2.08E-11
U231,0.00E+00,1.70E-09,0.00E+00,1.70E-09,0.00E+00,4.04E-08
U232,0.00E+00,1.40E-01,0.00E+00,1.40E-01,0.00E+00,3.34E+00
U233,0.00E+00,1.68E+04,0.00E+00,1.68E+04,0.00E+00,4.00E+05
U234,0.00E+00,7.06E+03,0.00E+00,7.06E+03,0.00E+00,1.68E+05
U235,0.00E+00,1.03E+03,0.00E+00,1.03E+03,0.00E+00,2.46E+04
U236,0.00E+00,9.72E+02,0.00E+00,9.72E+02,0.00E+00,2.32E+04
U237,0.00E+00,6.16E-01,0.00E+00,6.16E-01,0.00E+00,1.47E+01
U238,0.00E+00,1.24E+00,0.00E+00,1.24E+00,0.00E+00,2.95E+01
U239,0.00E+00,5.96E-06,0.00E+00,5.96E-06,0.00E+00,1.42E-04
U240,0.00E+00,7.21E-18,0.00E+00,7.21E-18,0.00E+00,1.72E-16
NP235,0.00E+00,2.09E-10,0.00E+00,2.09E-10,0.00E+00,3.73E-07
NP236,0.00E+00,7.87E-08,0.00E+00,7.84E-08,0.00E+00,1.40E-04
NP236M,0.00E+00,1.19E-07,0.00E+00,1.19E-07,0.00E+00,2.12E-04
NP237,0.00E+00,2.59E+01,0.00E+00,2.58E+01,0.00E+00,4.61E+04
NP238,0.00E+00,5.64E-02,0.00E+00,5.61E-02,0.00E+00,1.00E+02
NP239,0.00E+00,5.39E-04,0.00E+00,5.37E-04,0.00E+00,9.59E-01
NP240,0.00E+00,6.56E-09,0.00E+00,6.54E-09,0.00E+00,1.17E-05
NP240M,0.00E+00,1.30E-09,0.00E+00,1.29E-09,0.00E+00,2.31E-06
NP241,0.00E+00,9.96E-15,0.00E+00,9.92E-15,0.00E+00,1.77E-11
PU236,0.00E+00,8.68E-08,0.00E+00,8.68E-08,0.00E+00,2.06E-05
PU237,0.00E+00,1.55E-07,0.00E+00,1.55E-07,0.00E+00,3.68E-05
PU238,0.00E+00,8.25E+00,0.00E+00,8.24E+00,0.00E+00,1.96E+03
PU239,0.00E+00,1.06E+00,0.00E+00,1.06E+00,0.00E+00,2.52E+02
PU240,0.00E+00,4.57E-01,0.00E+00,4.57E-01,0.00E+00,1.09E+02
PU241,0.00E+00,4.87E-01,0.00E+00,4.87E-01,0.00E+00,1.16E+02
PU242,0.00E+00,6.42E-01,0.00E+00,6.41E-01,0.00E+00,1.52E+02
PU243,0.00E+00,2.02E-04,0.00E+00,2.02E-04,0.00E+00,4.81E-02
PU244,0.00E+00,5.03E-07,0.00E+00,5.02E-07,0.00E+00,1.19E-04
PU245,0.00E+00,2.03E-11,0.00E+00,2.03E-11,0.00E+00,4.83E-09
AM239,0.00E+00,3.28E-14,0.00E+00,3.26E-14,0.00E+00,5.83E-11
AM240,0.00E+00,3.87E-11,0.00E+00,3.86E-11,0.00E+00,6.90E-08
AM241,0.00E+00,1.26E-02,0.00E+00,1.25E-02,0.00E+00,2.24E+01
AM242,0.00E+00,5.29E-05,0.00E+00,5.27E-05,0.00E+00,9.42E-02
AM242M,0.00E+00,1.80E-05,0.00E+00,1.79E-05,0.00E+00,3.20E-02
AM243,0.00E+00,3.41E-01,0.00E+00,3.39E-01,0.00E+00,6.06E+02
AM244,0.00E+00,1.89E-05,0.00E+00,1.88E-05,0.00E+00,3.36E-02
AM244M,0.00E+00,1.22E-05,0.00E+00,1.22E-05,0.00E+00,2.18E-02
AM245,0.00E+00,3.77E-12,0.00E+00,3.75E-12,0.00E+00,6.70E-09
AM246,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.60E-17
CM241,0.00E+00,7.55E-12,0.00E+00,7.52E-12,0.00E+00,1.34E-08
CM242,0.00E+00,9.81E-03,0.00E+00,9.77E-03,0.00E+00,1.75E+01
CM243,0.00E+00,3.47E-04,0.00E+00,3.45E-04,0.00E+00,6.17E-01
CM244,0.00E+00,4.54E-01,0.00E+00,4.52E-01,0.00E+00,8.07E+02
CM245,0.00E+00,7.00E-04,0.00E+00,6.97E-04,0.00E+00,1.25E+00
CM246,0.00E+00,6.65E-07,0.00E+00,6.62E-07,0.00E+00,1.18E-03
CM247,0.00E+00,5.14E-11,0.00E+00,5.12E-11,0.00E+00,9.14E-08
CM248,0.00E+00,2.16E-14,0.00E+00,2.15E-14,0.00E+00,3.85E-11
CM249,0.00E+00,2.74E-19,0.00E+00,2.73E-19,0.00E+00,4.88E-16
BK249,0.00E+00,2.42E-18,0.00E+00,2.41E-18,0.00E+00,4.31E-15
BK250,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.86E-18
CF249,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.64E-18
CF250,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.48E-17
CF251,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.51E-19
