isotope,Charged (g),DF1 (g),FP1 (g),DF2 (g),FP2 (g),Losses (g)
BR80,0.00E+00,0.00E+00,3.97E-04,0.00E+00,0.00E+00,0.00E+00
BR80M,0.00E+00,0.00E+00,4.27E-03,0.00E+00,0.00E+00,0.00E+00
BR81,0.00E+00,2.29E+00,2.46E+03,2.29E+00,0.00E+00,0.00E+00
BR82,0.00E+00,0.00E+00,6.39E+00,0.00E+00,0.00E+00,0.00E+00
BR82M,0.00E+00,0.00E+00,1.59E-02,0.00E+00,0.00E+00,0.00E+00
BR83,0.00E+00,0.00E+00,3.30E+02,0.00E+00,0.00E+00,0.00E+00
BR84,0.00E+00,0.00E+00,1.16E+02,0.00E+00,0.00E+00,0.00E+00
BR84M,0.00E+00,0.00E+00,1.94E+00,0.00E+00,0.00E+00,0.00E+00
BR85,0.00E+00,0.00E+00,1.46E+01,0.00E+00,0.00E+00,0.00E+00
BR86,0.00E+00,0.00E+00,4.93E+00,0.00E+00,0.00E+00,0.00E+00
BR87,0.00E+00,0.00E+00,4.75E+00,0.00E+00,0.00E+00,0.00E+00
BR88,0.00E+00,0.00E+00,8.97E-01,0.00E+00,0.00E+00,0.00E+00
BR89,0.00E+00,0.00E+00,1.21E-01,0.00E+00,0.00E+00,0.00E+00
BR90,0.00E+00,0.00E+00,2.06E-02,0.00E+00,0.00E+00,0.00E+00
BR91,0.00E+00,0.00E+00,1.40E-03,0.00E+00,0.00E+00,0.00E+00
BR92,0.00E+00,0.00E+00,1.14E-04,0.00E+00,0.00E+00,0.00E+00
BR93,0.00E+00,0.00E+00,3.73E-05,0.00E+00,0.00E+00,0.00E+00
BR94,0.00E+00,0.00E+00,1.17E-07,0.00E+00,0.00E+00,0.00E+00
BR95,0.00E+00,0.00E+00,1.78E-09,0.00E+00,0.00E+00,0.00E+00
BR96,0.00E+00,0.00E+00,2.61E-10,0.00E+00,0.00E+00,0.00E+00
KR79,0.00E+00,0.00E+00,1.97E-08,0.00E+00,0.00E+00,0.00E+00
KR80,0.00E+00,0.00E+00,5.80E-02,0.00E+00,0.00E+00,0.00E+00
KR81,0.00E+00,0.00E+00,5.38E-04,0.00E+00,0.00E+00,0.00E+00
KR81M,0.00E+00,0.00E+00,5.41E-09,0.00E+00,0.00E+00,0.00E+00
KR82,0.00E+00,0.00E+00,5.71E+00,0.00E+00,0.00E+00,0.00E+00
KR83,0.00E+00,0.00E+00,6.41E+03,0.00E+00,0.00E+00,0.00E+00
KR83M,0.00E+00,0.00E+00,2.48E+02,0.00E+00,0.00E+00,0.00E+00
KR84,0.00E+00,0.00E+00,1.18E+04,0.00E+00,0.00E+00,0.00E+00
KR85,0.00E+00,0.00E+00,4.12E+03,0.00E+00,0.00E+00,0.00E+00
KR85M,0.00E+00,0.00E+00,1.31E+03,0.00E+00,0.00E+00,0.00E+00
KR86,0.00E+00,0.00E+00,2.05E+04,0.00E+00,0.00E+00,0.00E+00
KR87,0.00E+00,0.00E+00,7.32E+02,0.00E+00,0.00E+00,0.00E+00
KR88,0.00E+00,0.00E+00,2.15E+03,0.00E+00,0.00E+00,0.00E+00
KR89,0.00E+00,0.00E+00,4.14E+01,0.00E+00,0.00E+00,0.00E+00
KR90,0.00E+00,0.00E+00,5.73E+00,0.00E+00,0.00E+00,0.00E+00
KR91,0.00E+00,0.00E+00,7.49E-01,0.00E+00,0.00E+00,0.00E+00
KR92,0.00E+00,0.00E+00,6.53E-02,0.00E+00,0.00E+00,0.00E+00
KR93,0.00E+00,0.00E+00,9.85E-03,0.00E+00,0.00E+00,0.00E+00
KR94,0.00E+00,0.00E+00,2.95E-04,0.00E+00,0.00E+00,0.00E+00
KR95,0.00E+00,0.00E+00,5.72E-06,0.00E+00,0.00E+00,0.00E+00
KR96,0.00E+00,0.00E+00,7.13E-06,0.00E+00,0.00E+00,0.00E+00
KR97,0.00E+00,0.00E+00,4.17E-08,0.00E+00,0.00E+00,0.00E+00
KR98,0.00E+00,0.00E+00,1.80E-07,0.00E+00,0.00E+00,0.00E+00
RB85,0.00E+00,5.11E+02,0.00E+00,5.10E+02,1.05E+04,0.00E+00
RB86,0.00E+00,1.18E-01,0.00E+00,1.18E-01,2.41E+00,0.00E+00
RB86M,0.00E+00,5.83E-07,0.00E+00,0.00E+00,1.22E-02,0.00E+00
RB87,0.00E+00,1.41E+03,0.00E+00,1.41E+03,2.92E+04,0.00E+00
RB88,0.00E+00,1.18E-02,0.00E+00,0.00E+00,2.47E+02,0.00E+00
RB89,0.00E+00,1.16E-02,0.00E+00,0.00E+00,2.42E+02,0.00E+00
RB90,0.00E+00,1.53E-03,0.00E+00,0.00E+00,3.21E+01,0.00E+00
RB90M,0.00E+00,9.81E-04,0.00E+00,0.00E+00,2.05E+01,0.00E+00
RB91,0.00E+00,6.64E-04,0.00E+00,0.00E+00,1.39E+01,0.00E+00
RB92,0.00E+00,3.60E-05,0.00E+00,0.00E+00,7.54E-01,0.00E+00
RB93,0.00E+00,2.62E-05,0.00E+00,0.00E+00,5.50E-01,0.00E+00
RB94,0.00E+00,4.00E-06,0.00E+00,0.00E+00,8.37E-02,0.00E+00
