Isotope;Conversion factors (Sv/Bq)
Pa234;5.1E-10
Uranium;
U230;5.6E-08
U231;2.8E-10
U232;3.3E-07
U233;5.1E-08
U234;4.9E-08
U235;4.7E-08
U236;4.7E-08
U237;7.6E-10
U238;4.5E-08
U239;2.7E-11
U240;1.1E-09
Neptunium;
Np232;9.7E-12
Np233;2.2E-12
Np234;8.1E-10
Np235;5.3E-11
Np236;1.7E-08
Np236m;1.9E-10
Np237;1.1E-07
Np238;9.1E-10
Np239;8.0E-10
Np240;8.2E-11
Plutonium;
Pu234;1.6E-10
Pu235;2.1E-12
Pu236;8.7E-08
Pu237;1.0E-10
Pu238;2.3E-07
Pu239;2.5E-07
Pu240;2.5E-07
Pu241;4.8E-09
Pu242;2.4E-07
Pu243;8.5E-11
Pu244;2.4E-07
Pu245;7.2E-10
Pu246;3.3E-09
Americium;
Am237;1.8E-11
Am238;3.2E-11
Am239;2.4E-10
Am240;5.8E-10
Am241;2.0E-07
Am242;3.0E-10
Am242m;1.9E-07
Am243;2.0E-07
Am244;4.6E-10
Am244m;2.9E-11
Am245;6.2E-11
Am246;5.8E-11
Am246m;3.4E-11
Curium;
Cm238;8.0E-11
Cm240;7.6E-09
Cm241;9.1E-10
Cm242;1.2E-08
Cm243;1.5E-07
Cm244;1.2E-07
Cm245;2.1E-07
Cm246;2.1E-07
Cm247;1.9E-07
Cm248;7.7E-07
Cm249;3.1E-11
Cm250;4.4E-06
Berkelium;
Bk245;5.7E-10
Bk246;4.8E-10
Bk247;3.5E-07
Bk249;9.7E-10
Bk250;1.4E-10
Californium;
Cf244;7.0E-11
Cf246;3.3E-09
Cf248;2.8E-08
Cf249;3.5E-07
Cf250;1.6E-07
Cf251;3.6E-07
Cf252;9.0E-08
Cf253;1.4E-09
Cf254;4.0E-07
Einsteinium;
Es250;2.1E-11
Es251;1.7E-10
Es253;6.1E-09
Es254;2.8E-08
Es254m;4.2E-09
Fermium;
Fm252;2.7E-09
Fm253;9.1E-10
Fm254;4.4E-10
Fm255;2.5E-09
Fm257;1.5E-08
Mendelevium;
Md257;1.2E-10
Md258;1.3E-08
