isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
TC103,0.000E+00,7.050E-04,0.000E+00,4.880E-04
TC104,0.000E+00,1.360E-02,0.000E+00,1.430E-02
TC105,0.000E+00,5.048E-03,0.000E+00,4.781E-03
TC106,0.000E+00,2.869E-04,0.000E+00,4.852E-05
TC107,0.000E+00,1.290E-04,0.000E+00,4.061E-06
TC108,0.000E+00,1.350E-05,0.000E+00,5.460E-10
TC109,0.000E+00,5.986E-05,0.000E+00,4.081E-11
TC110,0.000E+00,2.380E-07,0.000E+00,0.000E+00
TC111,0.000E+00,1.190E-07,0.000E+00,0.000E+00
TC112,0.000E+00,1.030E-08,0.000E+00,0.000E+00
TC113,0.000E+00,3.519E-09,0.000E+00,0.000E+00
TC114,0.000E+00,2.989E-10,0.000E+00,0.000E+00
TC115,0.000E+00,8.128E-11,0.000E+00,0.000E+00
TC116,0.000E+00,2.420E-12,0.000E+00,0.000E+00
TC117,0.000E+00,1.320E-13,0.000E+00,0.000E+00
RU99,0.000E+00,7.479E-03,1.351E-12,4.601E-02
RU100,0.000E+00,2.179E+02,2.822E-09,1.720E+02
RU101,0.000E+00,1.160E+03,3.172E-08,1.150E+03
RU102,0.000E+00,1.220E+03,1.571E-06,1.310E+03
RU103,0.000E+00,4.839E+01,2.831E-06,4.942E+01
RU104,0.000E+00,8.618E+02,9.255E-07,1.250E+03
RU105,0.000E+00,1.720E-01,0.000E+00,1.910E-01
RU106,0.000E+00,2.149E+02,2.872E-05,3.331E+02
RU107,0.000E+00,1.690E-03,0.000E+00,1.420E-03
RU108,0.000E+00,1.270E-03,0.000E+00,1.241E-03
RU109,0.000E+00,1.020E-04,0.000E+00,1.470E-05
RU110,0.000E+00,2.050E-05,0.000E+00,3.031E-08
RU111,0.000E+00,8.518E-06,0.000E+00,5.080E-11
RU112,0.000E+00,1.610E-07,0.000E+00,0.000E+00
RU113,0.000E+00,3.319E-07,0.000E+00,0.000E+00
RU114,0.000E+00,2.659E-07,0.000E+00,0.000E+00
RU115,0.000E+00,1.789E-08,0.000E+00,0.000E+00
RU116,0.000E+00,7.709E-09,0.000E+00,0.000E+00
RU117,0.000E+00,2.509E-10,0.000E+00,0.000E+00
RU118,0.000E+00,3.359E-09,0.000E+00,0.000E+00
RU120,0.000E+00,3.409E-13,0.000E+00,0.000E+00
RH102,0.000E+00,1.520E-03,0.000E+00,0.000E+00
RH103,0.000E+00,5.607E+02,3.172E-08,1.010E+03
RH103M,0.000E+00,4.329E-02,9.625E-12,4.861E-02
RH104,0.000E+00,4.589E-04,0.000E+00,0.000E+00
RH104M,0.000E+00,1.849E-04,0.000E+00,0.000E+00
RH105,0.000E+00,1.270E+00,0.000E+00,1.470E+00
RH105M,0.000E+00,1.350E-04,0.000E+00,1.440E-04
RH106,0.000E+00,2.179E-04,6.544E-09,3.081E-04
RH106M,0.000E+00,1.950E-03,0.000E+00,2.891E-04
RH107,0.000E+00,8.757E-03,0.000E+00,1.060E-02
RH108,0.000E+00,7.978E-05,0.000E+00,8.104E-05
RH108M,0.000E+00,1.560E-05,0.000E+00,8.322E-06
