isotope,ST1-charged (g),ST1-discharged (g)
TE123,0.000E+00,1.787E-02
TE123M,0.000E+00,3.603E-03
TE124,0.000E+00,8.452E-01
TE125,0.000E+00,9.195E+00
TE125M,0.000E+00,2.502E-01
TE126,0.000E+00,1.263E+00
TE127,0.000E+00,4.318E-02
TE127M,0.000E+00,1.657E+00
TE128,0.000E+00,1.620E+02
TE129,0.000E+00,1.524E-02
TE129M,0.000E+00,1.580E+00
TE130,0.000E+00,5.017E+02
TE131,0.000E+00,1.489E-02
TE131M,0.000E+00,1.754E-01
TE132,0.000E+00,4.462E+00
TE133,0.000E+00,9.996E-03
TE133M,0.000E+00,2.524E-02
TE134,0.000E+00,4.528E-02
TE135,0.000E+00,1.911E-04
TE136,0.000E+00,1.072E-04
TE137,0.000E+00,5.247E-06
TE138,0.000E+00,5.986E-07
TE139,0.000E+00,2.994E-08
TE140,0.000E+00,6.508E-09
TE141,0.000E+00,9.368E-11
TE142,0.000E+00,2.148E-11
I127,0.000E+00,7.268E+01
I128,0.000E+00,3.131E-04
I129,0.000E+00,2.630E+02
I130,0.000E+00,1.801E-02
I130M,0.000E+00,8.152E-05
I131,0.000E+00,8.065E+00
I132,0.000E+00,1.336E-01
I133,0.000E+00,1.667E+00
I133M,0.000E+00,6.451E-06
I134,0.000E+00,7.794E-02
I134M,0.000E+00,5.773E-04
I135,0.000E+00,5.337E-01
I136,0.000E+00,8.653E-04
I136M,0.000E+00,2.718E-04
I137,0.000E+00,2.444E-04
I138,0.000E+00,3.141E-05
I139,0.000E+00,5.103E-06
I140,0.000E+00,5.004E-07
I141,0.000E+00,3.887E-08
I142,0.000E+00,2.940E-09
I143,0.000E+00,3.351E-10
I144,0.000E+00,1.099E-11
XE127,0.000E+00,5.312E-06
XE128,0.000E+00,6.796E+00
XE129,0.000E+00,4.125E-02
XE129M,0.000E+00,7.108E-05
XE130,0.000E+00,1.533E+01
XE131,0.000E+00,5.551E+02
XE131M,0.000E+00,1.136E-01
XE132,0.000E+00,1.488E+03
XE133,0.000E+00,1.049E+01
XE133M,0.000E+00,1.332E-01
XE134,0.000E+00,1.923E+03
XE134M,0.000E+00,5.173E-08
XE135,0.000E+00,2.697E-01
XE135M,0.000E+00,4.187E-03
XE136,0.000E+00,2.805E+03
XE137,0.000E+00,4.630E-03
XE138,0.000E+00,1.583E-02
XE139,0.000E+00,5.781E-04
XE140,0.000E+00,1.272E-04
XE141,0.000E+00,5.875E-06
XE142,0.000E+00,1.442E-06
XE143,0.000E+00,6.241E-08
XE144,0.000E+00,3.652E-08
XE145,0.000E+00,3.680E-09
XE146,0.000E+00,2.407E-10
XE147,0.000E+00,5.945E-12
CS132,0.000E+00,2.688E-03
CS133,0.000E+00,1.454E+03
CS134,0.000E+00,1.810E+02
CS134M,0.000E+00,6.668E-03
CS135,0.000E+00,6.927E+02
CS135M,0.000E+00,8.768E-04
CS136,0.000E+00,1.078E+00
CS137,0.000E+00,1.573E+03
CS138,0.000E+00,4.015E-02
CS138M,0.000E+00,1.753E-04
CS139,0.000E+00,1.120E-02
CS140,0.000E+00,1.143E-03
CS141,0.000E+00,3.321E-04
CS142,0.000E+00,1.371E-05
CS143,0.000E+00,6.553E-06
CS144,0.000E+00,1.257E-06
CS145,0.000E+00,1.706E-07
CS146,0.000E+00,8.686E-09
CS147,0.000E+00,4.097E-09
CS148,0.000E+00,9.688E-11
CS150,0.000E+00,5.695E-14
BA132,0.000E+00,3.569E-03
BA134,0.000E+00,7.556E+01
BA135,0.000E+00,6.792E-01
BA135M,0.000E+00,1.969E-04
BA136,0.000E+00,3.915E+01
BA136M,0.000E+00,4.832E-08
BA137,0.000E+00,6.311E+01
BA137M,0.000E+00,2.409E-04
BA138,0.000E+00,1.632E+03
BA139,0.000E+00,1.019E-01
BA140,0.000E+00,2.196E+01
BA141,0.000E+00,2.045E-02
BA142,0.000E+00,1.129E-02
BA143,0.000E+00,2.090E-04
BA144,0.000E+00,1.268E-04
BA145,0.000E+00,3.774E-05
BA146,0.000E+00,5.152E-06
BA147,0.000E+00,1.223E-06
BA148,0.000E+00,5.810E-07
BA149,0.000E+00,1.044E-08
BA150,0.000E+00,1.540E-09
BA152,0.000E+00,1.715E-12
LA138,0.000E+00,5.514E-03
LA139,0.000E+00,1.575E+03
LA140,0.000E+00,2.963E+00
LA141,0.000E+00,2.653E-01
LA142,0.000E+00,1.003E-01
LA143,0.000E+00,1.435E-02
LA144,0.000E+00,6.040E-04
LA145,0.000E+00,3.232E-04
LA146,0.000E+00,6.216E-05
LA147,0.000E+00,3.741E-05
LA148,0.000E+00,1.873E-06
LA149,0.000E+00,1.065E-06
LA150,0.000E+00,4.758E-08
LA151,0.000E+00,9.064E-09
LA152,0.000E+00,3.251E-10
LA153,0.000E+00,4.655E-11
LA154,0.000E+00,8.649E-13
CE140,0.000E+00,1.551E+03
CE141,0.000E+00,5.432E+01
CE142,0.000E+00,1.490E+03
CE143,0.000E+00,2.038E+00
CE144,0.000E+00,3.860E+02
CE145,0.000E+00,2.158E-03
CE146,0.000E+00,8.386E-03
CE147,0.000E+00,5.440E-04
CE148,0.000E+00,2.511E-04
CE149,0.000E+00,3.353E-06
CE150,0.000E+00,1.621E-06
CE151,0.000E+00,5.050E-07
CE152,0.000E+00,1.593E-06
CE153,0.000E+00,3.410E-08
CE154,0.000E+00,8.184E-09
CE155,0.000E+00,1.818E-10
CE156,0.000E+00,2.778E-11
CE157,0.000E+00,6.582E-13
PR140,0.000E+00,9.080E-08
PR141,0.000E+00,1.413E+03
PR142,0.000E+00,5.867E-02
PR142M,0.000E+00,1.278E-04
PR143,0.000E+00,2.092E+01
PR144,0.000E+00,1.579E-02
PR144M,0.000E+00,7.860E-05
PR145,0.000E+00,2.584E-01
PR146,0.000E+00,1.436E-02
PR147,0.000E+00,5.752E-03
PR148,0.000E+00,8.977E-04
PR149,0.000E+00,6.463E-04
PR150,0.000E+00,4.067E-05
PR151,0.000E+00,7.552E-06
PR152,0.000E+00,7.219E-06
PR153,0.000E+00,2.216E-06
PR154,0.000E+00,9.384E-08
PR155,0.000E+00,2.752E-08
PR156,0.000E+00,1.405E-09
PR157,0.000E+00,2.710E-10
PR158,0.000E+00,7.396E-12
PR159,0.000E+00,3.368E-13
ND142,0.000E+00,2.913E+01
ND143,0.000E+00,1.057E+03
ND144,0.000E+00,1.228E+03
ND145,0.000E+00,8.653E+02
ND146,0.000E+00,9.191E+02
ND147,0.000E+00,7.889E+00
ND148,0.000E+00,5.062E+02
ND149,0.000E+00,3.095E-02
ND150,0.000E+00,2.577E+02
ND151,0.000E+00,2.076E-03
ND152,0.000E+00,1.369E-03
ND153,0.000E+00,8.168E-05
ND154,0.000E+00,2.658E-05
ND155,0.000E+00,7.067E-06
ND156,0.000E+00,6.056E-06
ND157,0.000E+00,1.237E-07
ND158,0.000E+00,3.597E-08
ND159,0.000E+00,6.253E-10
ND160,0.000E+00,6.446E-11
ND161,0.000E+00,1.086E-12
PM146,0.000E+00,1.184E-02
PM147,0.000E+00,2.164E+02
PM148,0.000E+00,1.237E+00
PM148M,0.000E+00,2.057E+00
PM149,0.000E+00,1.402E+00
PM150,0.000E+00,4.893E-04
PM151,0.000E+00,2.881E-01
PM152,0.000E+00,4.996E-04
PM152M,0.000E+00,1.641E-05
PM153,0.000E+00,4.433E-04
PM154,0.000E+00,1.361E-04
PM154M,0.000E+00,1.434E-05
PM155,0.000E+00,1.940E-05
PM156,0.000E+00,4.093E-06
PM157,0.000E+00,1.083E-05
PM158,0.000E+00,2.048E-07
PM159,0.000E+00,5.436E-08
PM160,0.000E+00,2.038E-09
PM161,0.000E+00,2.720E-10
PM162,0.000E+00,3.845E-12
SM146,0.000E+00,1.049E-02
SM147,0.000E+00,1.007E+02
SM148,0.000E+00,1.970E+02
SM149,0.000E+00,3.950E+00
SM150,0.000E+00,3.923E+02
SM151,0.000E+00,2.338E+01
