isotope,ST1-DF-charge (g),ST1-DF-discharge (g),ST1-BB-charge (g),ST1-BB-discharge (g),ST2-charge (g),ST2-discharge (g),ST3-charge (g),ST3-discharge (g)
Y91M,2.587E-25,1.001E-02,0.000E+00,1.091E-02,2.183E-24,2.719E-02,0.000E+00,7.315E-02
Y92,1.112E-22,8.174E-02,4.150E-27,8.339E-02,2.318E-22,2.076E-01,0.000E+00,6.590E-01
Y93,8.972E-23,2.656E-01,2.759E-26,2.565E-01,3.637E-22,6.397E-01,0.000E+00,2.412E+00
Y94,6.506E-22,8.645E-03,4.230E-25,7.667E-03,1.935E-21,1.917E-02,0.000E+00,8.369E-02
Y95,1.842E-21,4.972E-03,2.356E-24,3.818E-03,3.847E-21,9.681E-03,0.000E+00,5.146E-02
Y96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.068E-02
Y97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.117E-05
Y98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.259E-05
Y99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.733E-05
Y100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.655E-06
Y101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.109E-06
Y102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.331E-07
Y103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.347E-08
ZR90,1.632E-13,2.253E+02,1.775E-13,9.722E+01,1.775E-13,7.777E+01,0.000E+00,3.842E+01
ZR91,1.653E-13,1.839E+03,1.794E-13,9.683E+02,1.793E-13,1.400E+03,0.000E+00,1.608E+03
ZR92,1.669E-13,2.012E+03,1.818E-13,1.028E+03,1.814E-13,1.526E+03,0.000E+00,2.255E+03
ZR93,1.690E-13,2.159E+03,1.838E-13,1.087E+03,1.833E-13,1.613E+03,0.000E+00,2.867E+03
ZR94,1.705E-13,2.322E+03,1.853E-13,1.099E+03,1.852E-13,1.637E+03,0.000E+00,3.216E+03
ZR95,1.721E-13,4.606E+01,1.874E-13,3.589E+01,1.873E-13,9.143E+01,0.000E+00,4.777E+02
ZR96,1.742E-13,2.368E+03,1.897E-13,9.209E+02,1.894E-13,1.393E+03,0.000E+00,3.881E+03
ZR97,1.826E-21,5.172E-01,8.341E-25,3.466E-01,3.428E-21,8.858E-01,0.000E+00,5.773E+00
ZR98,4.392E-21,2.589E-04,3.431E-24,1.612E-04,0.000E+00,0.000E+00,0.000E+00,3.090E-03
ZR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.340E-04
ZR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.259E-04
ZR101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.634E-04
ZR102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.106E-04
ZR103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.634E-05
ZR104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.842E-06
ZR105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.371E-07
ZR106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.444E-08
NB91,0.000E+00,8.174E-09,0.000E+00,5.572E-09,0.000E+00,1.507E-08,0.000E+00,0.000E+00
NB92,0.000E+00,5.397E-07,0.000E+00,3.766E-07,0.000E+00,8.064E-07,0.000E+00,0.000E+00
NB93,1.690E-13,9.065E-04,1.838E-13,3.012E-04,1.833E-13,1.851E-04,0.000E+00,3.360E-04
NB93M,0.000E+00,4.516E-03,0.000E+00,1.735E-03,0.000E+00,1.426E-03,0.000E+00,1.371E-03
NB94,1.705E-13,2.809E-03,1.853E-13,1.348E-03,1.852E-13,2.721E-03,0.000E+00,1.522E-02
NB94M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.655E-08
NB95,1.721E-13,2.531E+01,1.874E-13,1.948E+01,1.873E-13,4.985E+01,0.000E+00,2.622E+02
NB95M,3.993E-26,2.809E-02,2.064E-26,2.186E-02,9.980E-26,5.577E-02,0.000E+00,1.937E-01
NB96,8.920E-25,1.189E-03,1.518E-27,1.253E-03,8.511E-24,5.012E-03,0.000E+00,4.962E-02
NB97,1.779E-23,3.736E-02,1.537E-27,2.529E-02,1.152E-22,6.453E-02,0.000E+00,4.137E-01
NB97M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.410E-03
NB98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.847E-04
NB98M,6.401E-23,1.624E-04,3.747E-27,1.612E-04,8.092E-23,3.971E-04,0.000E+00,5.707E-03
NB99,5.100E-23,1.284E-04,1.194E-26,6.601E-05,0.000E+00,0.000E+00,0.000E+00,1.483E-03
NB99M,0.000E+00,0.000E+00,1.372E-25,1.178E-04,0.000E+00,0.000E+00,0.000E+00,9.818E-04
NB100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.450E-04
NB100M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.456E-04
NB101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.182E-04
NB102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.854E-04
NB103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.951E-04
NB104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.189E-05
NB105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.628E-05
