isotope,Batch1-charged (g),Batch1-discharged (g),Batch2-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch4-discharged (g),Batch5-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch8-discharged (g)
SE86,4.837E-22,3.980E-05,5.907E-22,4.553E-05,0.000E+00,5.255E-05,0.000E+00,5.503E-05,0.000E+00,1.740E-05
SE87,4.837E-22,9.633E-06,5.907E-22,1.092E-05,0.000E+00,1.260E-05,0.000E+00,1.320E-05,0.000E+00,4.171E-06
SE88,4.837E-22,1.386E-06,5.907E-22,1.477E-06,0.000E+00,1.705E-06,0.000E+00,1.785E-06,0.000E+00,5.642E-07
SE89,4.837E-22,1.131E-07,5.907E-22,1.050E-07,0.000E+00,1.212E-07,0.000E+00,1.269E-07,0.000E+00,4.013E-08
SE90,4.837E-22,3.476E-08,5.907E-22,2.781E-08,0.000E+00,3.210E-08,0.000E+00,3.361E-08,0.000E+00,1.062E-08
SE91,4.837E-22,1.772E-09,5.907E-22,7.313E-10,0.000E+00,8.436E-10,0.000E+00,8.841E-10,0.000E+00,2.794E-10
SE92,4.837E-22,1.683E-10,5.907E-22,3.462E-11,0.000E+00,3.995E-11,0.000E+00,4.184E-11,0.000E+00,1.323E-11
SE93,4.837E-22,0.000E+00,5.907E-22,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00
BR79,4.837E-22,1.089E-03,5.907E-22,5.288E-04,8.939E-04,1.920E-03,2.209E-03,3.504E-03,3.566E-03,1.057E-02
BR79M,4.837E-22,2.282E-13,5.907E-22,1.149E-14,0.000E+00,1.326E-14,0.000E+00,1.390E-14,0.000E+00,4.409E-15
BR80,4.837E-22,5.100E-09,5.907E-22,1.559E-09,0.000E+00,4.433E-09,0.000E+00,7.843E-09,0.000E+00,7.465E-09
BR80M,4.837E-22,2.801E-08,5.907E-22,5.411E-09,0.000E+00,9.570E-09,0.000E+00,1.406E-08,0.000E+00,1.073E-08
BR81,4.837E-22,8.692E+01,5.907E-22,5.202E+01,2.720E+01,9.155E+01,4.931E+01,1.189E+02,6.564E+01,1.683E+02
BR82,4.837E-22,1.145E-02,5.907E-22,7.426E-03,0.000E+00,1.361E-02,0.000E+00,1.834E-02,0.000E+00,8.688E-03
BR82M,4.837E-22,6.026E-06,5.907E-22,3.883E-06,0.000E+00,7.091E-06,0.000E+00,9.544E-06,0.000E+00,4.513E-06
