isotope,SNF (g),FP1 (g)
RU119,1.22E-15,4.61E-09
RU120,1.39E-16,5.24E-10
RH99,3.97E-22,1.50E-15
RH99M,4.17E-31,1.57E-24
RH101,4.81E-15,1.81E-08
RH101M,6.14E-15,2.32E-08
RH102,8.23E-13,3.10E-06
RH102M,6.61E-13,2.49E-06
RH103,9.72E-05,3.67E+02
RH103M,3.65E-06,1.38E+01
RH104,2.78E-10,1.05E-03
RH104M,1.30E-10,4.91E-04
RH105,5.33E-04,2.01E+03
RH105M,8.26E-08,3.12E-01
RH106,4.02E-08,1.52E-01
RH106M,1.09E-06,4.12E+00
RH107,2.05E-06,7.74E+00
RH108,1.72E-08,6.49E-02
RH108M,2.20E-11,8.31E-05
RH109,4.40E-08,1.66E-01
RH110,1.69E-09,6.37E-03
RH110M,2.90E-10,1.09E-03
RH111,3.41E-09,1.28E-02
RH112,6.50E-10,2.45E-03
RH113,4.29E-10,1.62E-03
RH114,1.48E-10,5.57E-04
RH115,4.79E-11,1.81E-04
RH116,1.12E-11,4.23E-05
RH117,3.39E-12,1.28E-05
RH118,6.41E-13,2.42E-06
RH119,2.78E-13,1.05E-06
RH120,3.22E-14,1.22E-07
RH121,9.06E-15,3.42E-08
RH122,3.83E-16,1.45E-09
PD101,7.24E-24,2.73E-17
PD102,7.13E-16,2.69E-09
PD103,1.21E-15,4.56E-09
PD104,3.99E-07,1.50E+00
PD105,4.40E-04,1.66E+03
PD106,1.56E-04,5.87E+02
PD107,2.80E-04,1.06E+03
PD107M,1.68E-13,6.34E-07
PD108,1.84E-04,6.92E+02
PD109,2.65E-05,9.98E+01
PD109M,1.64E-11,6.20E-05
PD110,9.67E-05,3.65E+02
PD111,4.38E-07,1.65E+00
PD111M,3.39E-08,1.28E-01
PD112,1.40E-05,5.29E+01
PD113,1.94E-08,7.32E-02
PD114,2.81E-08,1.06E-01
PD115,4.85E-09,1.83E-02
PD116,1.84E-09,6.93E-03
PD117,4.26E-10,1.61E-03
PD118,8.87E-11,3.35E-04
PD119,1.30E-11,4.90E-05
PD120,3.60E-12,1.36E-05
PD121,7.38E-13,2.78E-06
PD122,3.20E-13,1.21E-06
PD123,4.56E-14,1.72E-07
PD124,9.42E-15,3.55E-08
AG105,3.39E-20,1.28E-13
AG105M,7.40E-23,2.79E-16
AG106,2.07E-20,7.79E-14
AG106M,5.45E-18,2.06E-11
AG107,1.23E-13,4.66E-07
AG107M,1.47E-19,5.54E-13
AG108,6.72E-16,2.53E-09
AG108M,2.29E-13,8.66E-07
AG109,7.21E-05,2.72E+02
AG109M,2.12E-08,8.01E-02
AG110,1.07E-10,4.05E-04
AG110M,1.55E-08,5.85E-02
AG111,4.82E-05,1.82E+02
AG111M,1.96E-08,7.40E-02
AG112,2.05E-06,7.75E+00
AG113,2.65E-06,1.00E+01
AG113M,1.38E-08,5.19E-02
AG114,9.15E-10,3.45E-03
AG115,2.58E-07,9.72E-01
AG115M,3.23E-10,1.22E-03
AG116,2.94E-08,1.11E-01
AG116M,1.91E-10,7.19E-04
AG117,1.12E-08,4.23E-02
AG117M,2.69E-10,1.02E-03
AG118,4.46E-10,1.68E-03
AG118M,1.01E-10,3.83E-04
AG119,2.27E-10,8.58E-04
AG120,4.13E-11,1.56E-04
AG120M,7.71E-12,2.91E-05
AG121,1.72E-11,6.48E-05
AG122,2.13E-12,8.02E-06
AG122M,5.75E-12,2.17E-05
AG123,9.23E-13,3.48E-06
AG124,3.27E-13,1.24E-06
AG125,9.79E-14,3.69E-07
AG126,2.66E-14,1.00E-07
AG127,5.24E-15,1.98E-08
AG128,6.04E-16,2.28E-09
AG129,4.09E-16,1.54E-09
AG130,3.39E-16,1.28E-09
CD105,1.59E-25,5.99E-19
CD106,1.09E-12,0.00E+00
CD107,4.39E-20,1.65E-13
CD108,1.08E-08,1.14E-06
CD109,1.99E-13,7.52E-07
CD110,9.76E-03,1.03E+00
CD111,2.27E-01,2.40E+01
CD111M,5.68E-11,2.14E-04
CD112,6.57E-01,6.95E+01
CD113,1.22E-02,1.30E+00
CD113M,2.20E-07,8.28E-01
CD114,2.22E+00,2.35E+02
CD115,2.54E-05,9.58E+01
CD115M,1.99E-02,2.10E+00
CD116,1.18E+00,1.25E+02
CD117,1.84E-06,6.94E+00
CD117M,2.15E-07,8.11E-01
CD118,7.15E-07,2.70E+00
CD119,3.08E-08,1.16E-01
CD119M,1.08E-08,4.09E-02
CD120,1.49E-08,5.62E-02
CD121,1.63E-09,6.15E-03
CD121M,8.57E-10,3.23E-03
CD122,1.24E-09,4.66E-03
CD123,1.02E-10,3.84E-04
CD123M,7.02E-13,2.65E-06
CD124,3.97E-11,1.50E-04
CD125,9.03E-12,3.41E-05
CD126,6.51E-12,2.46E-05
CD127,3.82E-12,1.44E-05
CD128,1.20E-12,4.52E-06
CD129,3.77E-12,1.42E-05
CD130,1.41E-11,5.32E-05
CD131,9.32E-13,3.51E-06
CD132,6.66E-16,2.51E-09
IN109,1.91E-23,7.21E-17
IN111,3.59E-18,1.35E-11
IN111M,5.94E-27,2.24E-20
IN112,9.50E-19,3.58E-12
IN112M,1.06E-18,3.98E-12
IN113,1.34E-06,1.42E-04
IN113M,1.31E-16,4.93E-10
IN114,1.84E-15,6.93E-09
IN114M,9.19E-12,3.47E-05
IN115,1.51E-01,1.60E+01
IN115M,2.01E-06,7.58E+00
IN116,1.40E-10,5.27E-04
IN116M,5.34E-08,2.02E-01
IN117,3.60E-07,1.36E+00
IN117M,1.11E-06,4.20E+00
IN118,1.19E-09,4.49E-03
IN118M,9.26E-11,3.49E-04
IN119,2.38E-08,8.98E-02
IN119M,1.36E-07,5.13E-01
IN120,9.40E-10,3.55E-03
IN120M,1.15E-09,4.33E-03
IN121,5.92E-09,2.23E-02
IN121M,1.97E-08,7.43E-02
IN122,4.86E-10,1.83E-03
IN122M,1.81E-09,6.82E-03
IN123,3.18E-09,1.20E-02
IN123M,6.63E-09,2.50E-02
IN124,8.99E-10,3.39E-03
IN124M,9.52E-10,3.59E-03
IN125,7.93E-10,2.99E-03
IN125M,3.94E-09,1.49E-02
IN126,4.57E-10,1.72E-03
IN126M,4.69E-10,1.77E-03
IN127,5.17E-10,1.95E-03
IN127M,1.58E-09,5.96E-03
IN128,1.54E-10,5.83E-04
IN128M,1.29E-10,4.88E-04
IN129,4.12E-10,1.56E-03
IN129M,8.08E-10,3.05E-03
IN130,5.04E-11,1.90E-04
IN130M,9.64E-11,3.63E-04
IN131,1.67E-11,6.31E-05
IN131M,1.63E-11,6.13E-05
IN132,2.50E-12,9.43E-06
IN133,1.53E-13,5.76E-07
IN134,4.02E-15,1.52E-08
IN135,5.96E-17,2.25E-10
SN111,6.86E-25,2.59E-18
SN112,2.51E-12,2.68E-10
SN113,4.58E-18,1.73E-11
SN113M,2.18E-20,8.23E-14
SN114,1.95E-07,2.07E-05
SN115,1.70E-02,1.79E+00
SN116,1.47E-01,1.55E+01
SN117,1.19E+00,1.26E+02
SN117M,7.74E-08,2.92E-01
SN118,1.35E+00,1.42E+02
SN119,1.60E+00,1.70E+02
SN119M,1.19E-07,4.49E-01
SN120,1.89E+00,2.00E+02
SN121,2.67E-05,1.01E+02
SN121M,4.72E-06,1.78E+01
SN122,3.46E+00,3.66E+02
SN123,9.82E-01,1.04E+02
SN123M,1.31E-06,4.94E+00
SN124,6.34E+00,6.71E+02
SN125,4.86E-01,5.14E+01
SN125M,3.20E-07,1.21E+00
SN126,1.91E+01,2.02E+03
SN127,4.54E-05,1.71E+02
SN127M,5.20E-07,1.96E+00
SN128,3.77E-05,1.42E+02
SN128M,3.33E-08,1.26E-01
SN129,1.67E-06,6.28E+00
SN129M,1.96E-06,7.40E+00
SN130,1.52E-06,5.74E+00
SN130M,6.60E-07,2.49E+00
SN131,2.50E-07,9.42E-01
SN131M,2.54E-07,9.60E-01
SN132,8.12E-08,3.06E-01
SN133,9.12E-10,3.44E-03
SN134,7.42E-11,2.80E-04
SN135,1.89E-12,7.11E-06
SN136,3.75E-14,1.41E-07
SN137,4.03E-15,1.52E-08
SB117,1.73E-18,6.53E-12
SB118,1.67E-17,6.32E-11
SB118M,2.02E-15,7.63E-09
SB119,1.95E-12,7.34E-06
SB120,3.06E-13,1.15E-06
SB120M,6.94E-11,2.62E-04
SB121,3.18E-05,1.20E+02
SB122,1.04E-07,3.91E-01
SB122M,9.64E-11,3.64E-04
SB123,1.26E-04,4.77E+02
SB124,2.32E-07,8.75E-01
SB124M,7.51E-11,2.83E-04
SB125,2.98E-04,1.12E+03
SB126,2.17E-06,8.17E+00
SB126M,2.11E-08,7.95E-02
SB127,1.14E-03,4.28E+03
SB128,3.69E-04,1.39E+03
SB128M,6.46E-07,2.44E+00
SB129,3.79E-04,1.43E+03
SB130,3.22E-05,1.21E+02
SB130M,6.10E-06,2.30E+01
SB131,4.48E-05,1.69E+02
SB132,2.24E-06,8.44E+00
SB132M,1.91E-06,7.22E+00
SB133,2.32E-06,8.76E+00
SB134,1.62E-09,6.10E-03
SB134M,2.03E-08,7.65E-02
SB135,1.39E-09,5.25E-03
SB136,7.53E-11,2.84E-04
SB137,1.60E-11,6.05E-05
SB138,8.12E-14,3.06E-07
SB139,2.63E-15,9.93E-09
TE118,3.56E-26,1.34E-19
TE119,1.35E-18,5.07E-12
TE120,1.36E-14,5.12E-08
TE121,6.34E-13,2.39E-06
TE121M,6.61E-13,2.49E-06
TE122,3.99E-08,1.50E-01
TE123,1.65E-11,6.22E-05
TE123M,3.85E-11,1.45E-04
TE124,3.99E-08,1.50E-01
TE125,2.37E-07,8.94E-01
TE125M,7.04E-08,2.65E-01
TE126,3.00E-06,1.13E+01
TE127,9.03E-05,3.41E+02
TE127M,1.55E-05,5.84E+01
TE128,1.90E-03,7.18E+03
TE129,1.03E-04,3.87E+02
TE129M,5.79E-05,2.18E+02
TE130,5.98E-03,2.26E+04
