isotope,ST1-charged (g),ST1-discharged (g),ST2-charged (g),ST2-discharged (g)
NB91,0.000E+00,0.000E+00,0.000E+00,1.050E-08
NB92,0.000E+00,0.000E+00,0.000E+00,9.022E-07
NB93,0.000E+00,2.212E-04,0.000E+00,4.341E-04
NB93M,0.000E+00,1.021E-03,0.000E+00,1.990E-03
NB94,0.000E+00,3.512E-03,0.000E+00,3.201E-03
NB94M,0.000E+00,4.823E-09,0.000E+00,0.000E+00
NB95,0.000E+00,1.931E+01,0.000E+00,1.940E-07
NB95M,0.000E+00,2.412E-02,0.000E+00,1.040E-10
NB96,0.000E+00,1.881E-03,0.000E+00,0.000E+00
NB97,0.000E+00,3.152E-02,0.000E+00,0.000E+00
NB97M,0.000E+00,3.302E-04,0.000E+00,0.000E+00
NB98,0.000E+00,2.061E-05,0.000E+00,0.000E+00
NB98M,0.000E+00,3.942E-04,0.000E+00,0.000E+00
NB99,0.000E+00,1.071E-04,0.000E+00,0.000E+00
NB99M,0.000E+00,6.394E-05,0.000E+00,0.000E+00
NB100,0.000E+00,1.041E-05,0.000E+00,0.000E+00
NB100M,0.000E+00,1.051E-05,0.000E+00,0.000E+00
NB101,0.000E+00,5.314E-05,0.000E+00,0.000E+00
NB102,0.000E+00,2.151E-05,0.000E+00,0.000E+00
NB103,0.000E+00,7.625E-05,0.000E+00,0.000E+00
NB104,0.000E+00,2.441E-06,0.000E+00,0.000E+00
NB105,0.000E+00,1.281E-06,0.000E+00,0.000E+00
NB106,0.000E+00,8.668E-08,0.000E+00,0.000E+00
NB107,0.000E+00,1.151E-08,0.000E+00,0.000E+00
NB108,0.000E+00,1.421E-09,0.000E+00,0.000E+00
NB109,0.000E+00,4.273E-10,0.000E+00,0.000E+00
NB110,0.000E+00,6.094E-12,0.000E+00,0.000E+00
NB111,0.000E+00,7.115E-13,0.000E+00,0.000E+00
MO95,0.000E+00,8.544E+02,0.000E+00,9.072E+02
MO96,0.000E+00,2.392E+01,0.000E+00,4.841E+01
MO97,0.000E+00,9.953E+02,0.000E+00,1.100E+03
MO98,0.000E+00,1.101E+03,0.000E+00,1.181E+03
MO99,0.000E+00,1.952E+00,0.000E+00,0.000E+00
MO100,0.000E+00,1.270E+03,0.000E+00,1.411E+03
MO101,0.000E+00,8.116E-03,0.000E+00,0.000E+00
MO102,0.000E+00,6.194E-03,0.000E+00,0.000E+00
MO103,0.000E+00,5.513E-04,0.000E+00,0.000E+00
