isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g),ST2-charged (g),ST2-discharged (g)
KR81,0.000E+00,5.629E-05,0.000E+00,3.897E-06,0.000E+00,8.617E-05
KR81M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.465E-12
KR82,0.000E+00,1.859E+00,0.000E+00,1.805E-01,0.000E+00,1.637E+00
KR83,0.000E+00,9.292E+01,0.000E+00,1.578E+01,0.000E+00,3.787E+01
KR83M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.790E-03
KR84,0.000E+00,1.640E+02,0.000E+00,2.702E+01,0.000E+00,1.032E+02
KR85,0.000E+00,3.575E+01,0.000E+00,5.825E+00,0.000E+00,1.921E+01
KR85M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.709E-02
KR86,0.000E+00,2.538E+02,0.000E+00,4.187E+01,0.000E+00,1.446E+02
KR87,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.735E-03
KR88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.728E-02
KR89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.731E-04
KR90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.663E-05
KR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.963E-05
KR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.505E-06
KR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.099E-07
KR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.912E-08
KR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.783E-08
KR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.281E-09
KR97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.406E-11
KR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.696E-12
RB85,0.000E+00,1.389E+02,0.000E+00,2.266E+01,0.000E+00,7.982E+01
RB86,0.000E+00,6.977E-02,0.000E+00,6.751E-03,0.000E+00,1.714E-02
RB86M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.802E-08
RB87,0.000E+00,3.272E+02,0.000E+00,5.368E+01,0.000E+00,1.806E+02
RB88,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.928E-03
RB89,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.133E-03
RB90,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.956E-04
RB90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.441E-04
RB91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.644E-04
RB92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.938E-05
RB93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.032E-05
RB94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.364E-06
RB95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.289E-07
RB96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.760E-08
RB97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.125E-08
RB98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.131E-09
RB99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.232E-10
RB100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.496E-11
SR86,0.000E+00,4.229E+00,0.000E+00,3.312E-01,0.000E+00,4.847E-01
SR87,0.000E+00,3.929E-02,0.000E+00,2.239E-03,0.000E+00,6.931E-03
SR87M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.370E-07
SR88,0.000E+00,4.262E+02,0.000E+00,7.204E+01,0.000E+00,2.522E+02
SR89,0.000E+00,2.726E+01,0.000E+00,6.603E+00,0.000E+00,1.527E+01
SR90,0.000E+00,6.332E+02,0.000E+00,1.052E+02,0.000E+00,3.739E+02
SR91,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.747E-01
SR92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.061E-02
SR93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.535E-03
SR94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.904E-04
SR95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.922E-04
SR96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.098E-05
SR97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.720E-07
SR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.761E-07
SR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.911E-07
SR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.398E-08
SR101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.517E-09
SR102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.078E-10
SR103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.102E-12
SR104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.323E-13
Y89,0.000E+00,5.282E+02,0.000E+00,8.672E+01,0.000E+00,3.021E+02
Y89M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.240E-11
Y90,0.000E+00,1.588E-01,0.000E+00,2.639E-02,0.000E+00,9.770E-02
Y90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.694E-06
Y91,0.000E+00,4.707E+01,0.000E+00,1.121E+01,0.000E+00,2.622E+01
Y91M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.849E-03
Y92,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.974E-02
Y93,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.959E-01
Y94,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.013E-02
Y95,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.397E-03
Y96,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.374E-03
Y97,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.896E-06
Y98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.917E-06
Y99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.004E-06
Y100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.283E-06
Y101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.395E-07
Y102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.092E-08
Y103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.068E-09
Y104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.854E-10
Y105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.249E-11
Y107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.607E-15
ZR90,0.000E+00,2.356E+01,0.000E+00,3.140E+00,0.000E+00,1.917E+01
ZR90M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.058E-14
ZR91,0.000E+00,7.236E+02,0.000E+00,1.169E+02,0.000E+00,4.425E+02
ZR92,0.000E+00,9.408E+02,0.000E+00,1.515E+02,0.000E+00,5.778E+02
ZR93,0.000E+00,1.178E+03,0.000E+00,1.865E+02,0.000E+00,7.359E+02
ZR94,0.000E+00,1.285E+03,0.000E+00,1.918E+02,0.000E+00,8.338E+02
ZR95,0.000E+00,1.009E+02,0.000E+00,2.300E+01,0.000E+00,5.832E+01
ZR96,0.000E+00,1.552E+03,0.000E+00,2.344E+02,0.000E+00,1.011E+03
ZR97,0.000E+00,1.035E-14,0.000E+00,2.486E-15,0.000E+00,7.247E-01
ZR98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.879E-04
ZR99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.049E-05
ZR100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.321E-05
ZR101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.498E-05
ZR102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.314E-04
ZR103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.351E-06
ZR104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.036E-06
ZR105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.251E-08
ZR106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,7.334E-09
ZR107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.055E-11
ZR108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.161E-11
ZR109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,8.100E-13
NB92,0.000E+00,2.246E-11,0.000E+00,1.572E-12,0.000E+00,2.016E-11
NB93,0.000E+00,1.604E-04,0.000E+00,1.935E-05,0.000E+00,1.153E-04
NB93M,0.000E+00,7.761E-04,0.000E+00,9.985E-05,0.000E+00,6.402E-04
NB94,0.000E+00,5.623E-03,0.000E+00,6.848E-04,0.000E+00,2.288E-03
NB94M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,4.634E-09
NB95,0.000E+00,7.220E+01,0.000E+00,1.611E+01,0.000E+00,3.216E+01
NB95M,0.000E+00,4.222E-02,0.000E+00,9.622E-03,0.000E+00,2.359E-02
NB96,0.000E+00,7.060E-13,0.000E+00,1.003E-13,0.000E+00,2.227E-03
NB97,0.000E+00,7.923E-16,0.000E+00,1.905E-16,0.000E+00,5.213E-02
NB97M,0.000E+00,9.662E-18,0.000E+00,2.322E-18,0.000E+00,6.783E-04
NB98,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.583E-05
NB98M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.107E-04
NB99,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.910E-04
NB99M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.013E-04
NB100,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.834E-05
NB100M,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.842E-05
NB101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.207E-05
NB102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.588E-05
NB103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.422E-04
NB104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.034E-06
NB105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.345E-06
NB106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.756E-07
NB107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.650E-08
NB108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.540E-09
NB109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.181E-10
NB110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.934E-11
NB111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,3.121E-12
MO95,0.000E+00,1.259E+03,0.000E+00,1.841E+02,0.000E+00,8.027E+02
MO96,0.000E+00,5.098E+01,0.000E+00,3.585E+00,0.000E+00,6.167E+01
MO97,0.000E+00,1.596E+03,0.000E+00,2.436E+02,0.000E+00,1.087E+03
MO98,0.000E+00,1.821E+03,0.000E+00,2.675E+02,0.000E+00,1.195E+03
MO99,0.000E+00,1.854E-03,0.000E+00,4.372E-04,0.000E+00,3.365E+00
MO100,0.000E+00,2.074E+03,0.000E+00,3.036E+02,0.000E+00,1.417E+03
MO101,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.259E-02
MO102,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.845E-03
MO103,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.426E-04
MO104,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.356E-03
MO105,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.837E-04
MO106,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.902E-05
MO107,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.711E-05
MO108,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,9.775E-07
MO109,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.810E-07
MO110,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.448E-08
MO111,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.160E-09
MO112,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,6.855E-10
MO113,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,1.403E-11
MO114,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,2.342E-12
MO115,0.000E+00,0.000E+00,0.000E+00,0.000E+00,0.000E+00,5.686E-14
