isotope,ST1-DF-charged (g),ST1-DF-discharged (g),ST1-BB-charged (g),ST1-BB-discharged (g)
NB106,0.000E+00,3.315E-07,0.000E+00,5.840E-08
NB107,0.000E+00,5.751E-08,0.000E+00,9.962E-09
NB108,0.000E+00,7.467E-09,0.000E+00,1.815E-09
NB109,0.000E+00,2.274E-09,0.000E+00,5.387E-10
NB110,0.000E+00,1.059E-10,0.000E+00,2.627E-11
NB111,0.000E+00,1.135E-11,0.000E+00,2.820E-12
MO95,0.000E+00,1.351E+03,0.000E+00,4.691E+02
MO96,0.000E+00,6.096E+01,0.000E+00,1.368E+01
MO97,0.000E+00,1.714E+03,0.000E+00,5.418E+02
MO98,0.000E+00,1.962E+03,0.000E+00,5.995E+02
MO99,0.000E+00,6.838E+00,0.000E+00,1.225E+00
MO100,0.000E+00,2.227E+03,0.000E+00,6.710E+02
MO101,0.000E+00,2.800E-02,0.000E+00,4.996E-03
MO102,0.000E+00,2.124E-02,0.000E+00,3.797E-03
MO103,0.000E+00,1.900E-03,0.000E+00,3.340E-04
MO104,0.000E+00,2.738E-03,0.000E+00,4.735E-04
MO105,0.000E+00,1.010E-03,0.000E+00,1.737E-04
MO106,0.000E+00,9.774E-05,0.000E+00,1.622E-05
MO107,0.000E+00,2.306E-05,0.000E+00,3.650E-06
MO108,0.000E+00,1.548E-06,0.000E+00,2.964E-07
MO109,0.000E+00,5.282E-07,0.000E+00,1.059E-07
MO110,0.000E+00,1.691E-07,0.000E+00,4.018E-08
MO111,0.000E+00,7.546E-09,0.000E+00,1.853E-09
MO112,0.000E+00,2.438E-09,0.000E+00,6.036E-10
MO113,0.000E+00,5.024E-11,0.000E+00,1.244E-11
MO114,0.000E+00,8.416E-12,0.000E+00,2.089E-12
MO115,0.000E+00,2.055E-13,0.000E+00,5.103E-14
TC98,0.000E+00,1.254E-01,0.000E+00,2.522E-02
TC99,0.000E+00,1.925E+03,0.000E+00,5.979E+02
TC99M,0.000E+00,5.461E-01,0.000E+00,9.777E-02
TC100,0.000E+00,6.041E-05,0.000E+00,5.979E-06
TC101,0.000E+00,2.721E-02,0.000E+00,4.854E-03
TC102,0.000E+00,1.687E-04,0.000E+00,3.016E-05
TC102M,0.000E+00,1.566E-05,0.000E+00,2.646E-06
TC103,0.000E+00,1.620E-03,0.000E+00,2.843E-04
TC104,0.000E+00,3.424E-02,0.000E+00,5.907E-03
TC105,0.000E+00,1.175E-02,0.000E+00,2.007E-03
TC106,0.000E+00,7.430E-04,0.000E+00,1.232E-04
TC107,0.000E+00,3.259E-04,0.000E+00,5.207E-05
TC108,0.000E+00,2.835E-05,0.000E+00,4.606E-06
TC109,0.000E+00,1.799E-04,0.000E+00,3.083E-05
TC110,0.000E+00,6.212E-07,0.000E+00,1.205E-07
TC111,0.000E+00,3.565E-07,0.000E+00,7.806E-08
