isotope,Batch1-charged (g),Batch3-discharged (g),Batch4-charged (g),Batch5-discharged (g),Batch6-charged (g),Batch7-discharged (g),Batch8-charged (g),Batch8-discharged (g)
SR102,5.38E-22,4.72E-10,0.00E+00,6.14E-10,0.00E+00,4.07E-10,0.00E+00,3.22E-10
SR103,5.38E-22,5.36E-12,0.00E+00,6.99E-12,0.00E+00,4.66E-12,0.00E+00,3.70E-12
SR104,5.38E-22,3.22E-13,0.00E+00,4.21E-13,0.00E+00,2.82E-13,0.00E+00,2.24E-13
Y89,5.38E-22,5.24E+02,2.80E+01,1.35E+03,7.74E+01,1.60E+03,9.39E+01,7.22E+02
Y89M,5.38E-22,8.14E-11,0.00E+00,1.33E-10,0.00E+00,1.06E-10,0.00E+00,8.92E-11
Y90,5.38E-22,1.48E-01,5.80E-03,3.87E-01,1.58E-02,4.40E-01,1.86E-02,2.08E-01
Y90M,5.38E-22,1.65E-06,0.00E+00,2.69E-06,0.00E+00,2.14E-06,0.00E+00,1.81E-06
Y91,5.38E-22,1.92E+01,2.52E-16,3.05E+01,4.32E-16,2.38E+01,3.48E-16,1.98E+01
Y91M,5.38E-22,6.65E-03,0.00E+00,1.04E-02,0.00E+00,8.11E-03,0.00E+00,6.72E-03
Y92,5.38E-22,5.84E-02,0.00E+00,9.16E-02,0.00E+00,7.12E-02,0.00E+00,5.96E-02
Y93,5.38E-22,2.10E-01,0.00E+00,3.29E-01,0.00E+00,2.57E-01,0.00E+00,2.15E-01
Y94,5.38E-22,6.97E-03,0.00E+00,1.11E-02,0.00E+00,8.70E-03,0.00E+00,7.30E-03
Y95,5.38E-22,4.38E-03,0.00E+00,6.92E-03,0.00E+00,5.42E-03,0.00E+00,4.54E-03
